loading previous zp-ontology...
Jul 05, 2017 5:37:07 PM de.charite.zpgen.ZPIDDB <init>
wrong format for entry ZDB-FISH-150901-14068 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-14627 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-14627 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-14646 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-14646 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-14755 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-14762 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-14762 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-15502 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-15502 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-15502 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-15530 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-15530 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-15741 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-15741 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-15953 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-16425 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-16425 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-16425 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-16425 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-16425 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-16425 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-17599 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-17599 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-17599 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-17599 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-17599 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-17599 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-17599 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-17599 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-17894 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-17894 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-17894 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-18266 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-18266 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-18486 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-18486 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-18486 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-18486 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-19250 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-19250 expected normal/abnormal, found 'ameliorated'
